# Nacre 口語・新語・ネットスラング辞書
# Format: reading\tsurface\tleft_group\tright_group\tcost
# Groups: 1=名詞 2=動詞 3=形容詞 6=副詞 9=感動詞 13=その他
#
# --- ネットスラング ---
まじ	マジ	6	6	3000
まじ	まじ	6	6	3500
まじで	マジで	6	6	3000
やばい	ヤバい	3	3	3000
やばい	やばい	3	3	3200
やば	ヤバ	3	3	3500
えもい	エモい	3	3	3500
えもい	エモい	3	3	3500
きもい	キモい	3	3	3500
うざい	ウザい	3	3	3500
だるい	ダルい	3	3	3500
おつ	乙	9	9	3500
おつかれ	お疲れ	9	9	3000
おつかれさま	お疲れ様	9	9	2800
おけ	おけ	9	9	4000
おけ	OK	9	9	4000
おk	OK	9	9	4000
りょ	了	9	9	3500
りょうかい	了解	9	9	2800
りょ	りょ	9	9	4000
わろた	ワロタ	9	9	3500
わろた	笑った	2	2	3800
くさ	草	1	1	3500
わらわら	笑笑	9	9	4000
www	www	13	13	4000
わら	笑	1	1	4000
わら	w	13	13	4500
#
# --- 略語・若者言葉 ---
てか	てか	8	8	3500
てかさ	てかさ	8	8	4000
なんか	なんか	6	6	3000
めっちゃ	めっちゃ	6	6	3000
めちゃ	めちゃ	6	6	3200
めちゃくちゃ	めちゃくちゃ	6	6	3000
すごい	凄い	3	3	2500
すごい	すごい	3	3	2800
すげー	すげー	3	3	3500
すげえ	すげえ	3	3	3500
やっぱ	やっぱ	6	6	3000
やっぱり	やっぱり	6	6	2500
じゃね	じゃね	9	9	4000
じゃん	じゃん	5	5	3500
だよね	だよね	5	5	3200
ぶっちゃけ	ぶっちゃけ	6	6	3500
がち	ガチ	6	6	3500
がちで	ガチで	6	6	3500
まあ	まあ	9	9	3000
まぁ	まぁ	9	9	3200
ちな	ちな	8	8	3500
ちなみに	ちなみに	8	8	2500
とりま	とりま	6	6	4000
とりあえず	とりあえず	6	6	2800
かわいい	可愛い	3	3	2500
かわいい	かわいい	3	3	2800
かわいい	カワイイ	3	3	3500
かっこいい	カッコいい	3	3	3000
かっこいい	かっこいい	3	3	3200
#
# --- 感情表現 ---
うれしい	嬉しい	3	3	2500
うれしい	うれしい	3	3	2800
かなしい	悲しい	3	3	2500
つらい	辛い	3	3	2800
つらい	つらい	3	3	3000
しんどい	しんどい	3	3	3200
たのしい	楽しい	3	3	2500
おもしろい	面白い	3	3	2500
つまらない	つまらない	3	3	3000
つまんない	つまんない	3	3	3500
#
# --- SNS・テック用語 ---
ばえる	映える	2	2	3500
ばえ	映え	1	1	3500
たぐる	タグる	2	2	4000
ぐぐる	ググる	2	2	3500
ぐぐる	Google	1	1	4000
ぱくつい	パクツイ	1	1	4500
りつ	リツ	1	1	4000
りつ	RT	13	13	4500
ふぁぼ	ファボ	1	1	4000
ふぁぼ	いいね	1	1	4000
えごさ	エゴサ	1	1	4000
ばずる	バズる	2	2	3500
あげ	アゲ	1	1	4000
さげ	サゲ	1	1	4000
ぬるぽ	ぬるぽ	9	9	4500
がっ	ガッ	9	9	4500
#
# --- 顔文字テンプレート ---
かお	(╹◡╹)	13	13	5000
かお	( ˘ω˘ )	13	13	5000
かなしい	(´;ω;`)	13	13	5500
わらい	( ´∀｀)	13	13	5500
おこ	(╬ Ò﹏Ó)	13	13	5500
#
# --- IT開発口語 ---
ばぐ	バグ	1	1	3000
ばぐった	バグった	2	2	3500
ばぐる	バグる	2	2	3500
くらっしゅ	クラッシュ	1	1	3500
ふりーず	フリーズ	1	1	3500
らぐ	ラグ	1	1	3500
らぐい	ラグい	3	3	4000
ぽちる	ポチる	2	2	4000
ぽちった	ポチった	2	2	4000
きんきゅう	緊急	1	1	2500
ほっとふぃっくす	ホットフィックス	1	1	4000
りふぁくたりんぐ	リファクタリング	1	1	3500
でぷろい	デプロイ	1	1	3500
まーじ	マージ	1	1	3500
こんふりくと	コンフリクト	1	1	3500
ぷるりく	プルリク	1	1	3500
ぷるりくえすと	プルリクエスト	1	1	3500
いしゅー	イシュー	1	1	3500
#
# --- 新語・流行語 (2024-2026) ---
えぬえふてぃー	NFT	1	1	4500
めたばーす	メタバース	1	1	4000
えーあい	AI	1	1	3000
じぇねれーてぃぶ	ジェネレーティブ	3	3	4500
ちゃっとじーぴーてぃー	ChatGPT	1	1	3500
ぷろんぷと	プロンプト	1	1	3500
ふぁいんちゅーにんぐ	ファインチューニング	1	1	4500
とーくん	トークン	1	1	3500
はるしねーしょん	ハルシネーション	1	1	4500
おーぷんそーす	オープンソース	1	1	3500
さすてなぶる	サステナブル	3	3	4500
でぃーえっくす	DX	1	1	4000
りすきりんぐ	リスキリング	1	1	4500
たいぱ	タイパ	1	1	4000
こすぱ	コスパ	1	1	3500
